,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Cluster
count,1716.0,1716.0,1716.0,1716.0,1716.0,1716.0,1716.0,1716.0,1716.0,1716.0,1716.0,1716.0,1716.0,1716.0,1716.0,1716.0,1716.0,1716.0
mean,1327.9037805034964,0.9439381526806527,2540.0633974358975,1552.783444055944,987.3085081585081,130.58663330011655,0.8220474283216783,0.47076491958041955,0.6535642867132868,0.013817053030303032,0.4726107226107226,35.43939393939394,5808.235325280885,2423.8807128251747,666.4005600397356,0.2534473968531468,11.822261072261073,2.0
std,1928.2186238460122,0.14191481476355783,3509.523695833768,2794.76124401147,1351.9527343804673,1114.1021725246242,0.22891160145216508,0.3295677969890916,0.309229334297768,0.09867427763419911,3.526799745585125,37.032179663025175,3985.7470753270914,3403.467778516096,1686.9847299384344,0.3564375878604654,0.7827549564767988,0.0
min,0.0,0.0,89.9,5.0,9.9,0.0,0.083333,0.083333,0.083333,0.0,0.0,2.0,300.0,0.0,13.545097,0.0,6.0,2.0
25%,194.4985305,1.0,811.47,298.755,243.42,0.0,0.666667,0.166667,0.416667,0.0,0.0,14.0,2700.0,751.681495,174.14402900000002,0.0,12.0,2.0
50%,599.477389,1.0,1586.12,816.475,568.7049999999999,0.0,0.916667,0.416667,0.666667,0.0,0.0,24.0,5000.0,1399.766776,228.556396,0.0,12.0,2.0
75%,1647.2121925000001,1.0,2886.7075,1779.875,1206.8325,0.0,1.0,0.75,1.0,0.0,0.0,43.0,7500.0,2728.0939829999998,611.062966,0.454545,12.0,2.0
max,19043.13856,1.0,41050.4,40624.06,15497.19,27296.48576,1.0,1.0,1.0,1.0,48.0,358.0,30000.0,36066.75068,29019.80288,1.0,12.0,2.0
