,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Cluster
count,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0,1362.0
mean,2753.0323673898674,0.9676341930983846,1539.6699632892803,822.3248825256975,717.5807709251102,1984.070177356828,0.7547770286343612,0.27760964464023496,0.6381795756240822,0.2767732422907489,6.959618208516887,25.412628487518354,5364.398759993393,2633.704076314978,1284.1791155849198,0.06093415345080764,11.53230543318649,4.0
std,2587.5555781511016,0.10000493284282544,2293.9317098847487,1741.5829429476998,988.5772321278076,2762.4155378964347,0.2642922408288252,0.3040091176382428,0.30368562596271564,0.19950848807656074,9.24563876381555,27.772854543872032,4052.200863948015,3717.4918903749535,1979.0282911136258,0.16190246230365818,1.3254637664361268,0.0
min,2.299436,0.090909,44.7,0.0,22.5,18.807602,0.083333,0.0,0.083333,0.083333,1.0,1.0,300.0,0.0,27.398111,0.0,6.0,4.0
25%,898.207245,1.0,394.86,0.0,192.96,450.41665274999997,0.571429,0.0,0.416667,0.085227,2.0,9.0,2000.0,785.6299087499999,360.004764,0.0,12.0,4.0
50%,1870.0871685,1.0,886.14,250.74,426.5,1124.8732995,0.833333,0.166667,0.666667,0.25,4.0,16.0,4500.0,1563.7687205,788.605182,0.0,12.0,4.0
75%,3830.8382862500002,1.0,1877.7675,990.13,916.755,2536.85066875,1.0,0.416667,0.916667,0.416667,9.0,32.0,7500.0,2997.5345035,1485.529509,0.0,12.0,4.0
max,16304.88925,1.0,49039.57,40761.25,14686.1,47137.21176,1.0,1.0,1.0,1.0,123.0,347.0,30000.0,46930.59824,31871.36379,1.0,12.0,4.0
