,Type,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
,min,300,50,300,300,300,150
,25%,1400,1500,2700,1800,2000,1700
,50%,2500,3000,5000,3000,4500,3000
,75%,4000,6000,7500,6000,7500,6500
,max,23000,19000,30000,20000,30000,25000
PAYMENTS,count,1897,2085,1716,751,1362,1139
,mean,769.739034330522,1666.6717919223,2423.88071282517,1814.14638856192,2633.70407631498,1288.43164914838
,std,1369.79249722945,2775.01875087599,3403.4677785161,2823.056074948,3717.49189037495,2448.78244088051
,min,0,0,0,0,0,0
,25%,206.903715,359.180202,751.681495,475.77542,785.62990875,289.8547655
,50%,416.913773,755.884496,1399.766776,1010.799168,1563.7687205,596.834019
,75%,837.801642,1730.364781,2728.093983,2053.6617445,2997.5345035,1393.34118
,max,28988.97388,34107.07499,36066.75068,39461.9658,46930.59824,50721.48336
MINIMUM_PAYMENTS,count,1897,2085,1716,751,1362,1139
,mean,721.169846132931,1002.98394399271,666.400560039736,995.48950523704,1284.17911558492,557.646968747727
,std,3179.24318426846,2570.68305560637,1686.98472993843,1671.5956732745,1979.02829111363,1584.9315208789
,min,0.019163,0.117036,13.545097,18.092319,27.398111,3.19794
,25%,121.781205,269.927525,174.144029,263.711235,360.004764,133.9616905
,50%,166.39765,513.327849,228.556396,544.723121,788.605182,211.04268
,75%,299.351881,978.238735,611.062966,1092.7514405,1485.529509,591.998293
,max,76406.20752,61031.6186,29019.80288,19060.53475,31871.36379,30528.4324
PRC_FULL_PAYMENT,count,1897,2085,1716,751,1362,1139
,mean,0.302615040063258,0.043903247002398,0.253447396853147,0.056344147802929,0.060934153450808,0.131628268656716
,std,0.366699106532739,0.137022810817044,0.356437587860465,0.162700886715488,0.161902462303658,0.288127531361101
,min,0,0,0,0,0,0
,25%,0,0,0,0,0,0
,50%,0.090909,0,0,0,0,0
,75%,0.583333,0,0.454545,0,0,0.083333
,max,1,1,1,1,1,1
TENURE,count,1897,2085,1716,751,1362,1139
,mean,11.5081707959937,11.3247002398082,11.8222610722611,11.358189081225,11.5323054331865,11.5127304653205
,std,1.37873454344101,1.54323145050015,0.782754956476799,1.52868010045724,1.32546376643613,1.32919277545324
,min,6,6,6,6,6,6
,25%,12,12,12,12,12,12
,50%,12,12,12,12,12,12
,75%,12,12,12,12,12,12
,max,12,12,12,12,12,12
