,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Cluster
count,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0
mean,2241.837063969374,0.9258472756324901,679.3299067909454,679.2042743009322,0.5512916111850865,1818.63831089747,0.2809536391478029,0.2787105965379494,0.0029325938748335557,0.2719870932090546,6.114513981358189,6.462050599201065,4480.725093814914,1814.1463885619175,995.4895052370399,0.05634414780292943,11.358189081225033,3.0
std,2200.4153737984852,0.16860444984518427,1541.391704648797,1541.3828582721335,4.080258038758031,2227.8626092280624,0.25402134209703775,0.25297921381302657,0.025082722641508487,0.18469013137639118,6.8682993331783075,13.87682328883078,3455.9177965112385,2823.0560749480037,1671.5956732745017,0.1627008867154882,1.5286801004572392,0.0
min,1.599053,0.090909,15.92,15.92,0.0,18.204577,0.083333,0.083333,0.0,0.083333,1.0,1.0,300.0,0.0,18.092319,0.0,6.0,3.0
25%,811.2534129999999,1.0,117.865,117.445,0.0,362.297824,0.083333,0.083333,0.0,0.125,2.0,1.0,1800.0,475.77542,263.711235,0.0,12.0,3.0
50%,1543.194492,1.0,298.49,298.49,0.0,1069.450087,0.166667,0.166667,0.0,0.25,4.0,3.0,3000.0,1010.799168,544.723121,0.0,12.0,3.0
75%,2931.67466,1.0,739.54,739.54,0.0,2435.5206815,0.333333,0.333333,0.0,0.333333,8.0,7.0,6000.0,2053.6617445,1092.7514405000002,0.0,12.0,3.0
max,15258.2259,1.0,22101.78,22101.78,54.16,19513.47483,1.0,1.0,0.5,1.125,93.0,309.0,20000.0,39461.9658,19060.53475,1.0,12.0,3.0
