,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Cluster
count,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0,1139.0
mean,895.123639597893,0.7770369868305531,854.3325987708517,853.8557418788411,0.5593239683933274,223.83851634855134,0.35092601053555755,0.3484140579455663,0.003055130816505707,0.028114835820895516,0.8033362598770851,7.562774363476734,4535.742410939421,1288.431649148376,557.6469687477269,0.13162826865671642,11.512730465320457,5.0
std,1430.4350438789263,0.300394808425475,1370.0694093653901,1370.3027332330685,5.019854497245027,1302.1328549114437,0.30919559591402507,0.3092571611352476,0.03451467890741806,0.1454440667783189,4.384020684912459,13.45271813934141,3650.890246108318,2448.7824408805063,1584.9315208788955,0.2881275313611012,1.3291927754532427,0.0
min,0.0,0.0,4.99,4.99,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,150.0,0.0,3.19794,0.0,6.0,5.0
25%,48.723738999999995,0.545455,152.305,151.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1700.0,289.8547655,133.9616905,0.0,12.0,5.0
50%,283.691223,1.0,429.88,429.88,0.0,0.0,0.25,0.222222,0.0,0.0,0.0,4.0,3000.0,596.834019,211.04268,0.0,12.0,5.0
75%,1189.8610765,1.0,1000.0,1000.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,10.0,6500.0,1393.34118,591.998293,0.083333,12.0,5.0
max,12323.84536,1.0,17945.0,17945.0,109.38,20277.33112,1.0,1.0,1.0,1.25,52.0,217.0,25000.0,50721.48336,30528.4324,1.0,12.0,5.0
