Z1,Z2,Z3,Z4,Z5,Cluster
-1.2885201474080743,5.1638936810808,0.2809409391067363,0.47937856680698143,0.1833718527330584,0.0
7.98444667253516,-0.5814352737438366,0.7261325136983279,-2.016564086698505,-1.1273439936211327,1.0
-2.5169251578871,-2.420734793645608,-4.753620831999399,-2.1340451229124087,0.8910817528609205,2.0
1.2150787365348563,-2.8257048942705607,-2.8728523143612397,2.9759569666528183,6.052327511633182,2.0
1.1947867879337664,1.8704061677137616,-3.8604830523954248,-2.3030149359350376,0.04742123656671679,2.0
-3.3171835896798356,2.3155872046441437,3.043665833127009,-2.894627088803833,0.7374332966222819,0.0
-4.926417834000648,0.9985703713767873,2.011598469234125,-1.6166298414050684,-0.7516629004552912,4.0
-2.719164365855845,2.7611695702732653,2.675982451875394,-2.6271577651667615,1.0310539031847286,0.0
-4.877965762938935,-1.380750682034371,-1.1206066281319174,-1.0414633208665027,0.6351751547421622,4.0
-3.108707230081382,-1.5120025563652362,-5.645910937333369,0.09521494587389455,-1.2822749367000408,2.0
-3.4811741239167655,2.6775563803391123,3.311989824554721,-2.4541504419836264,0.7886992657566121,0.0
-2.6777809873999696,-1.222029758973491,-4.815469986071933,-0.7832647385679494,-0.11039217979163517,2.0
-5.382838656303512,-0.6040009998992523,0.8774236390812203,-1.3866761717750118,1.1749887945796846,4.0
-5.869570424292938,-1.5078223907257386,-0.15201452015796835,-1.126667824968644,-0.17796112646105608,4.0
7.305489684311431,0.5655181235180405,-0.07285179395266847,-1.7893689014564669,0.3139386571172101,1.0
1.2995333968048117,-2.3614222694734797,5.9131995545254314,0.2979274475179724,0.011790190877059719,6.0
8.44393827726859,-0.18327469619111036,0.6199354463830712,0.0005770745416685757,0.3579753253900765,1.0
-3.297291667697436,4.767730862067999,1.807871428730016,0.8730489640678394,-0.14538103377636785,0.0
-4.398370945388817,-0.9926272662862731,0.25645521484996436,-2.4276744409313715,0.35955529325172364,4.0
-2.528829583538883,2.2531014867085486,2.849090382904437,-3.5512643233972048,1.1367930290156512,0.0
