,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Cluster
count,2085.0,2085.0,2085.0,2085.0,2085.0,2085.0,2085.0,2085.0,2085.0,2085.0,2085.0,2085.0,2085.0,2085.0,2085.0,2085.0,2085.0,2085.0
mean,2150.824959166907,0.8827588230215827,1.8188345323741006,0.05197601918465228,1.8085611510791364,1996.417114423981,0.0033579165467625904,0.0011263697841726618,0.002191578417266187,0.27162123357314144,6.2767386091127095,0.039328537170263786,4033.5091926460427,1666.6717919223022,1002.983943992708,0.04390324700239809,11.324700239808154,1.0
std,2127.206996476117,0.2321792002450081,65.78278559725713,0.8038506353511173,65.79594243801695,2504.787262092166,0.036873293231911686,0.02323412291027443,0.026988629682540028,0.20020378005333844,8.034693302171089,0.43413329499967374,3286.7299157545826,2775.018750875986,2570.683055606375,0.13702281081704373,1.5432314505001519,0.0
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.117036,0.0,6.0,1.0
25%,738.992204,0.9,0.0,0.0,0.0,371.667107,0.0,0.0,0.0,0.090909,2.0,0.0,1500.0,359.180202,269.927525,0.0,12.0,1.0
50%,1450.959629,1.0,0.0,0.0,0.0,1195.791823,0.0,0.0,0.0,0.25,4.0,0.0,3000.0,755.884496,513.327849,0.0,12.0,1.0
75%,2847.472954,1.0,0.0,0.0,0.0,2704.302935,0.0,0.0,0.0,0.333333,8.0,0.0,6000.0,1730.364781,978.238735,0.0,12.0,1.0
max,14581.45914,1.0,3000.0,15.4,3000.0,26194.04954,1.0,1.0,0.916667,1.5,123.0,12.0,19000.0,34107.07499,61031.6186,1.0,12.0,1.0
